項目,日期,完成日期,狀態,說明,備註,支援人員,支援類別,對象,經銷商,聯絡人,展碁人員,部門,CSA 類別,Solution Play,產品,一般分類,費用,虛擬金額,申請 Incentive,微軟協助人員
Microsoft 365管理员专家认证受訓,2025/12/1 上午 12:00,2025/12/5 上午 12:00,完成,Microsoft 365管理员专家认证認證週受訓,,Lucas,受訓,,,,,,CAIP,,,M365,,,,
長佳智能郵件遷移,2025/11/20 上午 12:00,2025/12/31 上午 12:00,完成,長佳智能郵件遷移,已於 12/31 客戶表示遷移沒有問題,Aaron,,,,,,,,,,,,,,
新日興365討論,2025/12/22 上午 10:00,2025/12/22 上午 11:00,完成,新日興欲從 Exchange Server 遷移上雲，希望可搭配安全的解決方案,介紹 DLP、Intune、MFA，以及建議建置 Microsoft Entra Connect，並提到 Copilot for M365 ,Aaron,,customer,長成資訊,,,,Security,,,Security,,,,
產品自動化問答系統建立專案-階段1,2025/12/9 上午 09:00,2025/12/9 下午 05:00,完成,"日期BUG排除
爬蟲遺漏BUG排除
檔案寫入重複問題除
",核心功能問題排除,Nick,Weblink Solution Offering,,,,,,AIBS,,,Copilot Studio,,,,
產品自動化問答系統建立專案-階段2,2025/12/11 上午 09:00,2025/12/11 下午 05:00,完成,"1. 網頁新增近三個月爬蟲內容摘要查詢與下載
2. 網頁新增Bot機器人功能
3. 網頁新增自動寄信功能
",html架構重新架構與改寫,Nick,Weblink Solution Offering,,,,,,AIBS,,,Copilot Studio,,,,
產品自動化問答系統建立專案-階段2,2025/12/12 上午 09:00,2025/12/12 下午 05:00,完成,"1. 網頁新增近三個月爬蟲內容摘要查詢與下載(與後端API串接)

2. 網頁新增Bot機器人功能(html串接copilot studio url)

3. 網頁新增自動寄信功能(修正power automate 欄位)",網頁功能與後端API串接測試與調整,Nick,Weblink Solution Offering,,,,,,AIBS,,,Copilot Studio,,,,
產品自動化問答系統建立專案-階段3,2025/12/16 上午 09:00,2025/12/16 下午 05:00,完成,"解決方案第一版完成, 開始進行服務POC","完成
azure app service 程式佈署 與服務啟用
copilot studio 機器人串接TEAMS 與 WEB
power automate 自動執行流程",Nick,Weblink Solution Offering,,,,,,AIBS,,,Github Copilot,,,,
花仙子 - github copilot 說明,2025/12/23 上午 09:00,2025/12/23 上午 10:00,完成,github copilot關聯azure billing與邀請人員說明,關聯azure billing與邀請人員說明,Nick,技術支援,,,,,,AIBS,,,Github Copilot,,"6,000",,
花仙子 - github copilot 購買授權說明,2026/1/5 上午 11:00,2026/1/5 上午 11:45,完成,說明github copilot授權指派與移除,說明github copilot授權指派與移除,Nick,技術支援,,,,,,AIBS,,,Github Copilot,,"6,000",,
產品自動化問答系統建立專案-正式導入,2025/12/25 上午 09:00,2025/12/25 下午 05:00,完成,"完成POC測試, 進行正式環境導入

完成項目
Azure 服務啟用
copilot studio 環境設定
power automate 自動化流程設定","完成機器人設定與自動化流程設定
並完成client測試
",Nick,Weblink Solution Offering,,,,,,AIBS,,,Copilot Studio,,,,
產品自動化問答系統建立專案-正式導入,2025/12/29 上午 09:00,2025/12/29 下午 05:00,完成,處理app service程式佈署問題,"POC的azure app service 與 正式環境的 app service版本不同, 導致服務無法啟動, 需改寫啟動命令",Nick,Weblink Solution Offering,,,,,,AIBS,,,Azure,,,,
